Geneid	A8_sensitive_sorted.bam	A9_sensitive_sorted.bam	A10_sensitive_sorted.bam	A11_sensitive_sorted.bam	A12_resistant_sorted.bam	A13_resistant_sorted.bam	A14_resistant_sorted.bam	A15_resistant_sorted.bam
transcript:EMLSAT00000000051	492	408	610	581	530	518	518	543
transcript:EMLSAT00000000045	40	31	125	79	164	118	129	174
transcript:EMLSAT00000000100	10220	9188	10217	8553	10479	7965	7886	8771
transcript:EMLSAT00000000101	1276	948	1642	1309	1809	1722	1365	1467
transcript:EMLSAT00000000126	1043	508	1534	1167	1534	1393	1213	1441
transcript:EMLSAT00000000102	6797	6433	6487	5605	7145	5909	5458	6174
transcript:EMLSAT00000000103	4515	4364	4154	3669	4465	3780	3680	3987
transcript:EMLSAT00000000104	1453	1262	1301	1046	1462	1215	1137	1390
transcript:EMLSAT00000000105	3515	3417	4278	5377	4006	4680	4165	4358
transcript:EMLSAT00000000106	327	238	485	415	520	490	421	434
transcript:EMLSAT00000000107	3109	2232	3496	3581	3102	3171	2921	2731
transcript:EMLSAT00000000108	760	705	907	960	668	715	728	573
transcript:EMLSAT00000000109	283	274	220	189	197	161	201	220
transcript:EMLSAT00000000110	72	18	64	39	52	30	39	65
transcript:EMLSAT00000000111	0	0	18	0	2	6	0	1
transcript:EMLSAT00000000112	1643	1353	2193	1406	1907	2319	1227	1401
transcript:EMLSAT00000000113	187	151	145	136	118	165	109	146
transcript:EMLSAT00000000114	1484	766	1990	1836	2001	2659	1853	1964
transcript:EMLSAT00000000127	201	160	219	193	213	178	217	110
transcript:EMLSAT00000000115	52	84	54	55	102	58	51	38
transcript:EMLSAT00000000116	1626	1289	1864	1414	2023	1351	1475	1324
transcript:EMLSAT00000000117	22	4	5	11	32	19	17	15
transcript:EMLSAT00000000118	5110	4575	5206	4810	3926	5893	4737	4226
transcript:EMLSAT00000000119	5968	5458	7445	6015	7055	7064	5888	7201
transcript:EMLSAT00000000120	1415	1385	1484	1429	1104	1156	1308	1500
transcript:EMLSAT00000000121	10	4	10	19	12	8	14	34
transcript:EMLSAT00000000122	11937	12635	11744	12139	9557	10931	14431	12038
transcript:EMLSAT00000000123	2691	2316	3757	3763	3492	3892	2975	4389
transcript:EMLSAT00000000124	39237	52694	68667	59962	56743	56412	55330	71414
transcript:EMLSAT00000000125	249	316	425	549	249	304	576	305
transcript:ENSRNA022720523-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000082	8	0	4	10	2	8	2	0
transcript:EMLSAT00000000081	206	310	282	104	437	471	112	336
transcript:EMLSAT00000000084	443	318	413	719	408	500	351	518
transcript:EMLSAT00000000083	6	0	0	0	6	0	2	4
transcript:EMLSAT00000000085	1976	1482	2341	2273	2102	2264	1756	1762
transcript:EMLSAT00000000086	370	264	288	277	366	211	254	286
transcript:EMLSAT00000000087	1481	1190	1469	954	1720	1068	1027	989
transcript:ENSRNA022737295-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000088	1356	857	1713	1699	2181	2116	1299	2063
transcript:EMLSAT00000000090	859	927	1097	970	1137	1082	1016	844
transcript:EMLSAT00000000089	54	9	87	62	160	93	83	106
transcript:EMLSAT00000000094	2	0	0	1	4	1	0	4
transcript:EMLSAT00000000091	27	70	159	100	168	83	65	75
transcript:EMLSAT00000000092	6106	6339	7679	5406	10569	11356	6072	7112
transcript:EMLSAT00000000093	83564	118194	52404	49775	85527	58523	58091	52886
transcript:EMLSAT00000000095	1084	676	1387	1420	1522	1593	1385	1271
transcript:EMLSAT00000000096	1431	1375	1426	1327	1258	1397	1239	1228
transcript:EMLSAT00000000097	391	268	404	369	376	424	359	364
transcript:EMLSAT00000000098	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000099	86	53	155	202	67	245	218	230
transcript:EMLSAT00000000208	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000209	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000210	0	6	10	6	3	12	6	8
transcript:EMLSAT00000000211	0	0	3	4	1	1	0	0
transcript:EMLSAT00000000212	0	0	0	0	0	0	0	0
transcript:ENSRNA022720058-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000202	150	151	344	167	174	328	165	162
transcript:EMLSAT00000000203	26	21	6	32	34	28	24	34
transcript:EMLSAT00000000204	115	65	176	217	135	190	189	189
transcript:EMLSAT00000000205	175	149	147	204	97	168	168	207
transcript:EMLSAT00000000206	66	66	37	75	73	88	52	122
transcript:EMLSAT00000000207	65	65	110	99	115	145	172	161
transcript:EMLSAT00000000129	436	554	611	476	442	525	408	475
transcript:EMLSAT00000000130	754	610	1201	1085	1147	1282	1166	1071
transcript:EMLSAT00000000131	149	114	315	277	275	340	296	264
transcript:EMLSAT00000000128	2	11	6	15	4	18	0	4
transcript:EMLSAT00000000138	8	22	62	91	34	47	26	31
transcript:EMLSAT00000000135	14052	13368	15973	16277	16189	15395	15012	15194
transcript:EMLSAT00000000136	10338	10059	11816	12394	12223	11835	11653	11736
transcript:EMLSAT00000000137	732	667	739	713	639	613	579	583
transcript:EMLSAT00000000139	658	584	855	787	691	777	633	732
